hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-MNG-001,"Lancero Mongol",2
face_1,1,101,IMP-MNG-042,"Mercenario de la Estepa",2
face_1,2,102,IMP-MNG-002,"Nökör Temerario",4
face_1,3,103,IMP-MNG-005,"Caballería Ligera",3
face_1,4,104,IMP-MNG-043,"Carroñero de la Estepa",3
face_1,5,105,IMP-MNG-040,"Jinete de la Noche",2
face_1,6,106,IMP-MNG-006,"Jinete Arquero",3
face_1,7,107,IMP-MNG-008,"Catafracta de la Estepa",3
face_1,8,108,IMP-MNG-012,"Jebe, Flecha del Kan",1
face_1,9,109,SIG-002,"Bo’orchu, Primer Nökör",1
face_1,10,110,IMP-MNG-018,"Khutulun, la Indomable",1
face_1,11,111,IMP-MNG-047,"Jamukha, Hermano de Sangre",1
face_1,12,112,IMP-MNG-017,"Keshig Imperial, Punta del Gran Kan",1
face_1,13,113,IMP-MNG-003,"Mensajero Yam",2
face_1,14,114,IMP-MNG-046,"Chamán Mongol",1
face_1,15,115,IMP-MNG-011,"Capitán de Tümen",2
face_1,16,116,SIG-001,"Muqali, Estandarte del Gran Kan",1
face_1,17,117,IMP-MNG-014,"Torre de Señales del Yam",2
face_1,18,118,IMP-MNG-048,"Oboo Sagrado",1
face_1,19,119,IMP-MNG-004,"Maza de Cabeza de Pera",2
face_1,20,120,IMP-MNG-010,"Arco Compuesto Mongol",2
face_1,21,121,IMP-MNG-039,"Sable del Juramento Roto",1
face_1,22,122,IMP-MNG-009,"Embestida Mongola",2
face_1,23,123,IMP-MNG-041,"Precio de Sangre",2
face_1,24,124,IMP-MNG-045,"Círculo de la Muerte",1
face_1,25,125,SIG-003,"Juramento de Baljuna",1
face_1,26,126,IMP-MNG-015,"Tierra Arrasada",1
face_1,27,127,IMP-MNG-019,"La Gran Kurultai",1
face_1,28,128,IMP-MNG-020,"Invasión Mongola",1
face_1,29,129,EMP-MNG-001,"Genghis Khan",1
face_2,0,200,MONEDA-1,"Conquista",8
face_2,1,201,MONEDA-4,"Ambición",4
face_2,2,202,TOK-01,"Suministro",8
