hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-MNG-001,"Lancero Mongol",4
face_1,1,101,IMP-MNG-007,"Guerrero Nómada",4
face_1,2,102,IMP-MNG-006,"Jinete Arquero",1
face_1,3,103,IMP-MNG-008,"Catafracta de la Estepa",3
face_1,4,104,SIG-008,"Chabi Khatun, Emperatriz de Dadu",1
face_1,5,105,IMP-MNG-016,"Infantería de Dadu",3
face_1,6,106,SIG-007,"Aju, Martillo de Xiangyang",1
face_1,7,107,IMP-MNG-018,"Khutulun, la Indomable",3
face_1,8,108,IMP-MNG-030,"Caballería Pesada",3
face_1,9,109,IMP-MNG-017,"Keshig Imperial, Punta del Gran Kan",1
face_1,10,110,IMP-MNG-003,"Mensajero Yam",2
face_1,11,111,IMP-MNG-028,"Criadora de Yeguas",2
face_1,12,112,IMP-MNG-027,"Mercader con Paiza",4
face_1,13,113,IMP-MNG-035,"Marco Polo",1
face_1,14,114,IMP-MNG-031,"Mercado de Karakórum",3
face_1,15,115,IMP-MNG-034,"Campo de Remonta",1
face_1,16,116,IMP-MNG-037,"Palacio de Karakórum",1
face_1,17,117,IMP-MNG-038,"Árbol de Plata de Karakórum",1
face_1,18,118,IMP-MNG-029,"Arnés de Remonta Imperial",1
face_1,19,119,IMP-MNG-009,"Embestida Mongola",2
face_1,20,120,IMP-MNG-032,"Raciones de Airag",4
face_1,21,121,IMP-MNG-036,"Camino de la Seda",1
face_1,22,122,SIG-009,"Proclamación del Gran Yuan",1
face_1,23,123,IMP-MNG-015,"Tierra Arrasada",1
face_1,24,124,IMP-MNG-020,"Invasión Mongola",1
face_1,25,125,EMP-MNG-003,"Kublai Khan",1
face_2,0,200,MONEDA-1,"Conquista",6
face_2,1,201,MONEDA-3,"Prosperidad",6
face_2,2,202,TOK-01,"Suministro",8
