hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-JPN-001,"Ashigaru Explorador",3
face_1,1,101,IMP-JPN-002,"Shinobi de Iga",3
face_1,2,102,IMP-JPN-003,"Kunoichi de Kōga",3
face_1,3,103,IMP-JPN-033,"Rōnin Renegado",4
face_1,4,104,IMP-JPN-034,"Ninja de la Noche",2
face_1,5,105,IMP-JPN-011,"Momochi Sandayū",2
face_1,6,106,IMP-JPN-017,"Hattori Hanzō",2
face_1,7,107,IMP-JPN-027,"Tomoe Gozen",1
face_1,8,108,SIG-011,"Shibata Katsuie, Martillo del Norte",1
face_1,9,109,IMP-JPN-038,"Date Masamune",1
face_1,10,110,IMP-JPN-005,"Espía de Corte",1
face_1,11,111,IMP-JPN-010,"Maiko Danzante",3
face_1,12,112,IMP-JPN-016,"Onmyōji de la Corte",2
face_1,13,113,SIG-010,"Akechi Mitsuhide, General de Tanba",1
face_1,14,114,IMP-JPN-009,"Dōjō del Bakufu",1
face_1,15,115,IMP-JPN-041,"Castillo Azuchi",1
face_1,16,116,IMP-JPN-013,"Kusarigama de Iga",2
face_1,17,117,IMP-JPN-018,"Arcabuz Tanegashima",1
face_1,18,118,IMP-JPN-039,"Fukiya Oculta",1
face_1,19,119,IMP-JPN-006,"Ceremonia del Té",2
face_1,20,120,IMP-JPN-019,"Arte del Engaño",3
face_1,21,121,IMP-JPN-035,"Seppuku",2
face_1,22,122,IMP-JPN-007,"Bomba de Humo",3
face_1,23,123,IMP-JPN-036,"Dardo Envenenado",2
face_1,24,124,SIG-012,"Nagashino, Muralla de Arcabuces",1
face_1,25,125,IMP-JPN-020,"Asalto de Iga",1
face_1,26,126,IMP-JPN-042,"Tenka Fubu",1
face_1,27,127,EMP-JPN-001,"Oda Nobunaga",1
face_2,0,200,MONEDA-2,"Astucia",8
face_2,1,201,MONEDA-4,"Ambición",4
face_2,2,202,TOK-02,"Ofrenda",6
