hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-JPN-001,"Ashigaru Explorador",2
face_1,1,101,IMP-JPN-002,"Shinobi de Iga",3
face_1,2,102,IMP-JPN-021,"Ashigaru Japonés",2
face_1,3,103,IMP-JPN-022,"Samurái del Shōgun",4
face_1,4,104,IMP-JPN-023,"Monja Sōhei",2
face_1,5,105,IMP-JPN-011,"Momochi Sandayū",2
face_1,6,106,IMP-JPN-017,"Hattori Hanzō",1
face_1,7,107,SIG-013,"Acha no Tsubone, Voz de Osaka",1
face_1,8,108,IMP-JPN-027,"Tomoe Gozen",1
face_1,9,109,SIG-014,"Honda Tadakatsu, Guerrero sin Heridas",1
face_1,10,110,IMP-JPN-038,"Date Masamune",1
face_1,11,111,IMP-JPN-005,"Espía de Corte",1
face_1,12,112,IMP-JPN-010,"Maiko Danzante",2
face_1,13,113,IMP-JPN-024,"Tambores Taiko",2
face_1,14,114,IMP-JPN-025,"Miko Shintō",2
face_1,15,115,IMP-JPN-031,"Hōjō Masako",2
face_1,16,116,IMP-JPN-009,"Dōjō del Bakufu",2
face_1,17,117,IMP-JPN-029,"Matsuri de Verano",2
face_1,18,118,IMP-JPN-032,"Castillo de Himeji",1
face_1,19,119,IMP-JPN-004,"Arco Yumi de Yabusame",1
face_1,20,120,IMP-JPN-013,"Kusarigama de Iga",1
face_1,21,121,IMP-JPN-018,"Arcabuz Tanegashima",1
face_1,22,122,IMP-JPN-028,"Naginata de la Sōhei",1
face_1,23,123,IMP-JPN-008,"Emboscada",1
face_1,24,124,IMP-JPN-019,"Arte del Engaño",2
face_1,25,125,IMP-JPN-026,"Formación Bushidō",2
face_1,26,126,IMP-JPN-007,"Bomba de Humo",2
face_1,27,127,IMP-JPN-012,"Iaijutsu",1
face_1,28,128,SIG-015,"Fundación del Bakufu de Edo",1
face_1,29,129,IMP-JPN-020,"Asalto de Iga",1
face_1,30,130,IMP-JPN-030,"Batalla de Sekigahara",2
face_1,31,131,EMP-JPN-002,"Tokugawa Ieyasu",1
face_2,0,200,MONEDA-2,"Astucia",6
face_2,1,201,MONEDA-6,"Orden",6
face_2,2,202,TOK-02,"Ofrenda",6
