hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-ROM-027,"Explorador de la Legión",4
face_1,1,101,IMP-ROM-002,"Pretoriano",3
face_1,2,102,IMP-ROM-004,"Guardia Urbana",3
face_1,3,103,IMP-ROM-001,"Legionario de la Décima",3
face_1,4,104,IMP-ROM-003,"Triario Veterano",3
face_1,5,105,IMP-ROM-005,"Signifer de la Décima",2
face_1,6,106,SIG-022,"Faustina la Menor, Madre de los Campamentos",1
face_1,7,107,IMP-ROM-011,"Centurión",1
face_1,8,108,IMP-ROM-018,"Máximo, Último General",1
face_1,9,109,IMP-ROM-008,"Medicus",3
face_1,10,110,IMP-ROM-013,"Cincinato",1
face_1,11,111,IMP-ROM-030,"Cicerón",2
face_1,12,112,SIG-023,"Claudio Pompeyano, Guardián del Danubio",1
face_1,13,113,IMP-ROM-009,"Termas Romanas",1
face_1,14,114,IMP-ROM-010,"Castrum Romano",1
face_1,15,115,IMP-ROM-019,"Curia Julia",2
face_1,16,116,IMP-ROM-015,"Vitis del Centurión",1
face_1,17,117,IMP-ROM-014,"Águila de la Legión",1
face_1,18,118,IMP-ROM-007,"Bloqueo de Escudos",3
face_1,19,119,IMP-ROM-031,"Diplomacia Romana",2
face_1,20,120,IMP-ROM-006,"Formación Testudo",2
face_1,21,121,SIG-024,"Meditaciones",1
face_1,22,122,IMP-ROM-016,"Arbitraje del Senado",3
face_1,23,123,IMP-ROM-028,"Maniobra Envolvente",3
face_1,24,124,IMP-ROM-017,"Cruce del Rubicón",1
face_1,25,125,IMP-ROM-032,"Divide et Impera",1
face_1,26,126,EMP-ROM-002,"Marco Aurelio",1
face_2,0,200,MONEDA-2,"Astucia",4
face_2,1,201,MONEDA-6,"Orden",8
face_2,2,202,TOK-03,"Vino",4
