hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-ROM-034,"Danzante Romana",4
face_1,1,101,IMP-ROM-040,"Legionario del Arsenal",4
face_1,2,102,IMP-ROM-002,"Pretoriano",1
face_1,3,103,IMP-ROM-004,"Guardia Urbana",2
face_1,4,104,SIG-026,"Livia Drusila, Arquitecta de la Dinastía",1
face_1,5,105,IMP-ROM-001,"Legionario de la Décima",2
face_1,6,106,IMP-ROM-003,"Triario Veterano",4
face_1,7,107,SIG-025,"Marco Agripa, Vencedor de Accio",1
face_1,8,108,IMP-ROM-011,"Centurión",1
face_1,9,109,IMP-ROM-047,"Maestro de Ingenieros de Vitruvio",1
face_1,10,110,IMP-ROM-018,"Máximo, Último General",1
face_1,11,111,IMP-ROM-008,"Medicus",1
face_1,12,112,IMP-ROM-033,"Ingeniero Romano",3
face_1,13,113,IMP-ROM-044,"Virgilio",1
face_1,14,114,IMP-ROM-009,"Termas Romanas",1
face_1,15,115,IMP-ROM-010,"Castrum Romano",1
face_1,16,116,IMP-ROM-035,"Acueducto Romano",2
face_1,17,117,IMP-ROM-036,"Horrea de Ostia",2
face_1,18,118,IMP-ROM-037,"Taller de Armorería",1
face_1,19,119,IMP-ROM-019,"Curia Julia",1
face_1,20,120,IMP-ROM-042,"Foro de Trajano",1
face_1,21,121,IMP-ROM-046,"Circo Máximo",1
face_1,22,122,IMP-ROM-048,"Panteón de Roma",1
face_1,23,123,IMP-ROM-039,"Scutum Legionario",1
face_1,24,124,IMP-ROM-038,"Lorica Hamata",2
face_1,25,125,IMP-ROM-045,"Dolabra Legionaria",1
face_1,26,126,SIG-027,"Corona de Laurel de Augusto",1
face_1,27,127,IMP-ROM-041,"Gladius del Triunfo",1
face_1,28,128,IMP-ROM-007,"Bloqueo de Escudos",1
face_1,29,129,IMP-ROM-006,"Formación Testudo",1
face_1,30,130,IMP-ROM-016,"Arbitraje del Senado",1
face_1,31,131,IMP-ROM-043,"Trompeta Romana",1
face_1,32,132,IMP-ROM-017,"Cruce del Rubicón",1
face_1,33,133,IMP-ROM-032,"Divide et Impera",1
face_1,34,134,EMP-ROM-003,"Augusto",1
face_2,0,200,MONEDA-6,"Orden",5
face_2,1,201,MONEDA-5,"Legado",7
face_2,2,202,TOK-03,"Vino",4
