hoja,celda,CardID,ID,carta,copias_en_mazo
face_1,0,100,IMP-EGY-001,"Campesino del Nilo",3
face_1,1,101,IMP-EGY-003,"Lancero Egipcio",3
face_1,2,102,IMP-EGY-039,"Trabajador de Pirámide",4
face_1,3,103,IMP-EGY-002,"Carro de Pi-Ramsés",3
face_1,4,104,IMP-EGY-004,"Carro Ligero Egipcio",2
face_1,5,105,IMP-EGY-010,"Guardia de Karnak",1
face_1,6,106,SIG-034,"Nefertiti, Gran Esposa de Atón",1
face_1,7,107,IMP-EGY-015,"Behemot del Nilo",1
face_1,8,108,IMP-EGY-017,"Elefante de Guerra Kushita",1
face_1,9,109,IMP-EGY-020,"Coloso de Menfis",1
face_1,10,110,IMP-EGY-040,"Cantero de Giza",3
face_1,11,111,IMP-EGY-045,"Artesano de Fayenza",2
face_1,12,112,IMP-EGY-009,"Barca Mercante del Nilo",1
face_1,13,113,IMP-EGY-012,"Hatshepsut",1
face_1,14,114,SIG-035,"Tutmose, Maestro de Amarna",1
face_1,15,115,IMP-EGY-005,"Granero del Nilo",3
face_1,16,116,IMP-EGY-008,"Mercado de Tebas",2
face_1,17,117,IMP-EGY-042,"Casa de la Vida",2
face_1,18,118,IMP-EGY-046,"Obelisco de Ra",1
face_1,19,119,IMP-EGY-019,"Templo de Karnak",1
face_1,20,120,IMP-EGY-018,"Faro de Alejandría",1
face_1,21,121,IMP-EGY-048,"Pirámide de Giza",1
face_1,22,122,IMP-EGY-016,"Arco Gigante Kushita",2
face_1,23,123,IMP-EGY-007,"Cosecha de Emmer",4
face_1,24,124,IMP-EGY-041,"Piedra sobre Piedra",2
face_1,25,125,IMP-EGY-013,"Crecida del Nilo",1
face_1,26,126,SIG-036,"Fundación de Akhetatón",1
face_1,27,127,IMP-EGY-047,"Reforma de Atón",1
face_1,28,128,EMP-EGY-003,"Akenatón",1
face_2,0,200,MONEDA-3,"Prosperidad",8
face_2,1,201,MONEDA-5,"Legado",4
face_2,2,202,TOK-04,"Grano",8
